bioproject_id,source,study_title,study_type,study_type_curation,target,target_curation,target_class,target_class_curation,chemistry,chemistry_curation,n_random,n_random_curation,n_rounds,n_rounds_curation,selection_format,selection_format_curation,counter_selection,counter_selection_curation
PRJEB50172,ena,Discovery of serotonin-inducible regulatory switches governing the activity of the Rho helicase,aptamer_selection,adjudicated,Rho helicase (Escherichia coli transcription termination factor),concordant,protein (helicase),concordant,single-stranded DNA library transcribed into RNA:DNA duplexes,concordant,80 randomized nucleotides,concordant,up to 21 rounds (R21); negative selections at rounds 11 to 13,concordant,Helicase-SELEX (H-SELEX),concordant,present,concordant
PRJEB51212,ena,HT-SELEX of recombinant C2H2 zinc finger domains of Sall4,tf_ht_selex,concordant,"SALL4 C2H2 zinc finger domains ZFC1, ZFC2 and ZFC4",concordant,protein (zinc finger DNA-binding domains),concordant,double-stranded DNA,concordant,20 bp random sequences,single_source:claude,"0, 1, 3, or 6 cycles",single_source:claude,HT-SELEX (SELEX coupled with high-throughput sequencing),concordant,present,single_source:claude
PRJEB51473,ena,HT-SELEX of wild-type and mutated versions of recombinant DNA binding domain of SALL4,tf_ht_selex,concordant,SALL4 zinc finger cluster 4 (ZFC4): wild-type and mutants R900W and G921D,concordant,protein (zinc finger DNA-binding domain),concordant,double-stranded DNA,concordant,20 bp random sequences,single_source:claude,up to 6 cycles,single_source:claude,HT-SELEX (SELEX coupled with high-throughput sequencing),concordant,present,single_source:claude
PRJEB61115,ena,HT-SELEX data for: GHT-SELEX demonstrates unexpectedly high intrinsic sequence specificity of human transcription factors,tf_ht_selex,concordant,"human transcription factors (Codebook putative TF set, 331 poorly characterized putative human TFs)",concordant,human transcription factors (proteins),concordant,double-stranded DNA: fragmented genomic DNA (GHT-SELEX) and random 40N synthetic ligands (HT-SELEX),concordant,random 40N ligands (HT-SELEX); GHT-SELEX uses fragmented genomic DNA with no randomized region,concordant,number of cycles varied across 21 SELEX batches (per-experiment cycle counts recorded in Table S3),single_source:claude,GHT-SELEX (Genomic HT-SELEX) and HT-SELEX,concordant,,not_stated
PRJEB62495,ena,Aptamers against Anaplasma phagocytophilum and its host cells,aptamer_selection,concordant,Anaplasma phagocytophilum (NY18 strain) and molecules expressed during infection,concordant,zoonotic obligate intracellular bacterium (and host-cell-expressed molecules),concordant,ssDNA,concordant,40 random nucleotides,single_source:claude,12 cycles (R01-R12),concordant,SELEX (customized selection protocol),concordant,present,concordant
PRJEB62756,ena,ssRNA and dbDNA SELEX against FOXL2 and the oncogenic variant C134W (mutFOXl2),tf_ht_selex,concordant,FOXL2 protein (wild-type and oncogenic C134W variant),concordant,forkhead (FOX) transcription factor (protein),concordant,double-stranded DNA (dsDNA) and single-stranded RNA (ssRNA) libraries,concordant,26-base variable region (DNA); 50-base variable region (RNA),concordant,six rounds,concordant,PCR-SELEX,concordant,present,concordant
PRJEB65950,ena,Water-mediated interactions enable transcription factors to specifically recognize dinucleotides,tf_ht_selex,concordant,Transcription factors MYF5 and BARHL2,concordant,transcription factors (bHLH protein MYF5; homeodomain protein BARHL2),concordant,double-stranded DNA,concordant,101 bp randomized region,single_source:claude,four SELEX cycles,single_source:claude,HT-SELEX; Temperature-SELEX; Methylated-SELEX,adjudicated,,not_stated
PRJEB66722,ena,Defining the molecular basis of the gene regulatory code,tf_ht_selex,concordant,"human transcription factors and TF–TF pairs (158 prey proteins × 376 bait proteins; 58,754 interactions)",concordant,"transcription factors (extended DNA-binding domains, proteins)",concordant,double-stranded DNA,concordant,40-bp random sequences,single_source:claude,three cycles,single_source:claude,CAP-SELEX (consecutive-affinity-purification SELEX) and HT-SELEX,concordant,,not_stated
PRJEB70964,ena,Libraries of SELEX against α-synuclein fibrillar polymorphs,aptamer_selection,concordant,"α-synuclein fibrillar polymorphs F-type (fibrils), discriminated from R-type (ribbons)",concordant,protein fibrillar polymorphs (α-synuclein amyloid fibrils),concordant,2′-fluoro-pyrimidine RNA (2′F-Py RNA),concordant,35-nucleotide random region (N35),concordant,15 rounds,single_source:claude,SELEX,concordant,present,concordant
PRJEB75580,ena,HT-SELEX data for ThPOK (ZBTB7B) target specificity for wild type and K360N mutant,tf_ht_selex,concordant,"ThPOK (ZBTB7B), wild type and K360N mutant",concordant,transcription factor,concordant,DNA sequences,single_source:codex,,not_stated,three consecutive selection cycles,concordant,HT-SELEX,concordant,,not_stated
PRJEB76622,ena,Genomic HT-SELEX data for: GHT-SELEX demonstrates unexpectedly high intrinsic sequence specificity of human transcription factors,tf_ht_selex,concordant,human transcription factors (surveyed across 25 families),concordant,human transcription factors (proteins; including long C2H2 zinc finger proteins),concordant,"fragmented, naked, unmodified double-stranded genomic DNA",concordant,no randomized region — fragmented genomic DNA is used in place of a synthetic random library,single_source:claude,number of cycles varied across 21 SELEX batches (per-experiment cycle counts recorded in Table S3),single_source:claude,GHT-SELEX (Genomic HT-SELEX),concordant,,not_stated
PRJEB79572,ena,Ultrahigh-throughput discovery of modified aptamers as specific and potent enzyme inhibitors,aptamer_selection,concordant,SPM-1 (São Paulo metallo-beta-lactamase 1),concordant,enzyme (beta-lactamase),concordant,RNA and 2′-fluoropyrimidine (2'-FY) modified RNA,concordant,,not_stated,"multiple selection rounds present in the deposit: RNA rounds R01–R07 and 2'-FY rounds F07–F12, plus microfluidic screening sub-rounds (e.g. F12.1–F12.3)",single_source:claude,SELEX combined with microfluidic in vitro compartmentalization (µIVC / microIVC) screening,concordant,,not_stated
PRJEB88389,ena,Helicase-SELEX mapping of Bacillus subtilis transcription terminator Rut sites,aptamer_selection,adjudicated,"Rho helicase (from E. coli, EcRho, and B. subtilis, BsRho)",concordant,protein (ring-shaped RNA helicase / transcription terminator),concordant,biotinylated RNA:DNA duplexes (genomic-origin ssRNA),concordant,"genomic fragments (~30–300 bp; ~90–130 nt ssRNA), generated with semi-randomized primers — not a synthetic random region",concordant,10 rounds (EcRho) and 14 rounds (BsRho),concordant,Helicase-SELEX (H-SELEX),concordant,,not_stated
PRJEB98610,ena,oShark: a modified light-up aptamer for use in challenging conditions,aptamer_selection,concordant,Gemini-552 fluorogenic dye,concordant,fluorogenic dye (small-molecule fluorogen),concordant,fluorinated (2′-fluorinated) RNA aptamer,concordant,,not_stated,"selection rounds R00–R09 present in the deposit (plus mutant pools Rmut3, Rmut4)",single_source:claude,directed evolution combining microfluidic-assisted screening (µIVC),concordant,,not_stated
PRJEB9897,ena,SELMAP - SELEX Affinity Landscape Mapping of transcription factor binding sites using integrated microfluidics,tf_ht_selex,concordant,"transcription factors Pho4, AtERF2 and Btd (full-length proteins)",concordant,"transcription factors (proteins: bHLH, AP2/ERF, and zinc finger DNA-binding domains)",concordant,double-stranded DNA (71-bp dsDNA with focal 12-mer random insert),concordant,12-mer random sequence (within a 71-bp dsDNA),concordant,2–3 enrichment cycles per TF experiment (Pho4: optimal at 2 rounds; AtERF2: 3 rounds; Btd: 3 rounds),single_source:claude,SELMAP (SELEX Affinity Landscape MAPping) on a microfluidic chip,concordant,,not_stated
PRJNA1013112,ena,Aptameric Evolution from CRISPR Signal Conductor 1.0 to 3.0: A Paradigm Shift in Precision Oncotherapy and Genetic Engineering,aptamer_selection,concordant,CRISPR-SaCas9 protein,concordant,protein,concordant,,not_stated,,not_stated,,not_stated,SELEX,concordant,,not_stated
PRJNA1013173,ena,Identify aptamers binding human PD-L1 protein by SELEX,aptamer_selection,concordant,recombinant PD-L1 expressed with the C-terminal fused Fc region of human IgG1 (hPD-L1-hFc),concordant,protein,concordant,ssDNA screening library,single_source:codex,N10 ... N40,single_source:codex,15 rounds,single_source:claude,protein-based-SELEX,concordant,present,concordant
PRJNA1045519,ena,elongation T-boxzyme,aptamer_selection,adjudicated,tRNA 3′-aminoacylation activity using para-azido-l-phenylalanine (PheAZ) as acyl-donor,concordant,amino acid substrate (small molecule); functional aminoacylation activity,concordant,RNA (in vitro transcribed using T7 polymerase from DNA template),concordant,40-nucleotide randomized sequence,single_source:claude,12 rounds (click reaction-based) + 6 additional rounds (b-tREX) + 4 rounds (elT32 evolution),single_source:claude,in vitro selection using click reaction-based method and b-tREX (biotin-based tRNA extension),concordant,,not_stated
PRJNA1061493,ena,Sensing levofloxacin with an RNA aptamer as bioreceptor,aptamer_selection,concordant,levofloxacin (LFX),concordant,small molecule (fluoroquinolone antibiotic),concordant,RNA,concordant,"two randomized regions: 40 nt (5′) and 10 nt (3′), flanking a 13 nt docking sequence",single_source:claude,21 rounds,concordant,RNA Capture-SELEX,concordant,present,concordant
PRJNA1064871,ena,NGS whole-cell SELEX against Aspergillus niger,aptamer_selection,concordant,Aspergillus niger conidia (strains ATCC 1015 and CBS 544.65),concordant,whole cells (fungal conidia),concordant,ssDNA,concordant,40 nucleotides,concordant,9 rounds (per each of 3 independent experiments),concordant,whole-cell SELEX,concordant,present,concordant
PRJNA1066781,ena,"GEO accession GSE253695 is currently private and is scheduled to be released on Dec 31, 2026.",tf_ht_selex,concordant,CTCF and MBD2 proteins (DNA-binding),concordant,transcription factor / methyl-CpG binding protein,concordant,DNA,single_source:codex,,not_stated,4 cycles,concordant,"HT-SELEX, Methyl-SELEX, CAP-HT-SELEX, CAP-Methyl-SELEX",concordant,,not_stated
PRJNA1067620,ena,The emergence of the stem cell-associated Sox and POU transcription factors predates animal origins (SELEX),tf_ht_selex,concordant,Salpingoeca helianthica POU (Salhel POU) and mouse Oct4 (mOct4) DNA-binding domains,concordant,transcription factor (POU domain protein),concordant,DNA,single_source:codex,40N,concordant,,not_stated,SELEX,concordant,,not_stated
PRJNA1068659,ena,High-Affinity Aptamers for In Vitro and In Vivo Cocaine Sensing,aptamer_selection,concordant,cocaine,concordant,small molecule,single_source:claude,DNA,concordant,,not_stated,at least 11 rounds (rounds 8–11 sequenced),concordant,SELEX,concordant,,not_stated
PRJNA1090029,ena,An aptamer-mediated base editing platform for simultaneous knock-in and multiple gene knockout for allogeneic CAR-T cells generation,not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA1091700,ena,PAM-Adjacent DNA Flexibility Tunes CRISPR-Cas12a Off-Target Binding,tf_ht_selex,adjudicated,FnCas12a (Francisella novicida Cas12a),concordant,CRISPR nuclease (DNA-binding protein),concordant,DNA (with DNA-DNA mismatches),concordant,PAM +1 to +6 positions,single_source:codex,,not_stated,SELEX-seq,concordant,,not_stated
PRJNA1113703,ena,FOXC2 pH-dependent SELEX-seq,tf_ht_selex,concordant,"FOXC2, FOXM1, and FOXN1 (FOX family transcription factors)",concordant,transcription factor (FOX family),concordant,DNA library,single_source:codex,16 base pair randomized region,single_source:codex,,not_stated,SELEX-seq,concordant,,not_stated
PRJNA1119072,ena,Covalent aptamer library,aptamer_selection,concordant,mouse IgG1,concordant,antibody (immunoglobulin),concordant,displayed aptamer library ... modified with NHS-ester warheads,single_source:codex,,not_stated,6 rounds,concordant,selection,single_source:codex,,not_stated
PRJNA1121376,ena,An aptamer-mediated base editing platform for simultaneous knock-in and multiple gene knockout for allogeneic CAR-T cells generation,not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA1122221,ena,RAPID-SELEX identifies high-affinity RNA targets for chromatin binding proteins PARP1 and MeCP2,aptamer_selection,adjudicated,PARP1 (Poly (ADP-ribose) polymerase 1) and MeCP2 (Methyl-CpG Binding Protein 2),concordant,"chromatin-associated, DNA-binding proteins with RNA binding properties",concordant,RNA,concordant,70-mer,concordant,12 rounds,concordant,RAPID-SELEX,concordant,,not_stated
PRJNA1151868,ena,Diversity scale of library matters: Impact of mRNA library diversity scales on the discovery of macrocyclic peptides targeting a protein by the RaPID system,not_selex,concordant,MET,single_source:codex,protein,single_source:codex,mRNA library,single_source:codex,,not_stated,rounds 1 to 7,single_source:codex,RaPID (mRNA display),concordant,present,single_source:codex
PRJNA1159731,ena,SELEX-based method for identification of SigA-specific promoters in Mycobacterium tuberculosis H37Rv,tf_ht_selex,concordant,"principal sigma factor, sigmaA (SigA)",concordant,principal sigma factor,single_source:claude,extracted genomic DNA,single_source:claude,,not_stated,,not_stated,modified genomic SELEX-Seq,adjudicated,,not_stated
PRJNA1176306,ena,Aptamer sequence library from SELEX,aptamer_selection,concordant,,not_stated,,not_stated,DNA,single_source:claude,,not_stated,Round 8,single_source:codex,PA-SELEX,concordant,,not_stated
PRJNA1188194,ena,Improving Aptamer Affinity and Determining Sequence-Activity Relationships via Motif-SELEX,aptamer_selection,concordant,morphine and apixaban,concordant,small molecule,single_source:claude,DNA (morphine aptamer); 2'-fluoro- and methoxy-RNA (apixaban aptamer),concordant,22–34 nt (morphine motif library); N30 stem-loop (apixaban original library),concordant,10 rounds (morphine); 10 rounds phase 1 + 10 rounds phase 2 (apixaban),concordant,motif-SELEX / library-immobilized SELEX,concordant,present,concordant
PRJNA1206477,ena,CRISPR-Hybrid: A CRISPR-Mediated Intracellular Directed Evolution Platform for RNA Aptamers,aptamer_selection,concordant,bacteriophage Qβ coat protein (QCP),concordant,RNA-binding protein / bacteriophage coat protein,concordant,RNA,concordant,"11 nucleotides (first selection, library N11); 8 bases (second selection)",concordant,four rounds (first QCP selection); four rounds (second selection),concordant,CRISPR-Hybrid (CRISPR-mediated intracellular directed evolution platform),concordant,,not_stated
PRJNA1212714,ena,Therapeutic circRNA aptamer alleviates PKR-associated osteoarthritis,not_selex,adjudicated,PKR,single_source:codex,,not_stated,circRNA aptamer,single_source:codex,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA1220334,ena,Homo sapiens Raw sequence reads,aptamer_selection,concordant,ZYG11B protein,concordant,protein / substrate receptor in the Cullin 2-RING E3 ubiquitin ligase complex,concordant,DNA,concordant,(N)36,single_source:codex,seven rounds,concordant,Cluster SELEX (magnetic bead-based),adjudicated,present,concordant
PRJNA1221092,ena,Targeting eIF4A with RNA Aptamers Enhances Salt Stress Tolerance in Rice Through Modulation of Translation Initiation,aptamer_selection,concordant,eIF4A (eukaryotic initiation factor 4A),concordant,protein / RNA helicase / key regulator of translation initiation,concordant,RNA,concordant,40-nucleotide randomized region N40 (Library 1); two 26-nucleotide regions N26 (Library 2),concordant,15 rounds,concordant,SELEX on agarose beads (purified eIF4A protein immobilized on agarose beads),concordant,present,single_source:claude
PRJNA1244358,ena,Predicting the DNA binding specificity of transcription factor mutants using family-level biophysically interpretable machine learning,tf_ht_selex,concordant,HES2 and ASCL2 (wild-type and mutants),concordant,transcription factor / basic helix-loop-helix protein,concordant,dsDNA,concordant,16-mer randomized region (16N),concordant,,not_stated,SELEX with EMSA gel-shift fractionation,concordant,,not_stated
PRJNA1244796,ena,DNA bendability regulates transcription factor binding to nucleosomes [PIONEAR-seq and SELEX-seq],tf_ht_selex,concordant,"ASCL1, CEBPB, FOXA1, GATA1, GATA4, KLF4, OCT4, PAX7, PU.1, RUNX2, ZNF143 (11 human TFs)",concordant,pioneer transcription factors,concordant,dsDNA (147-bp nucleosomal DNA templates with 20-bp random regions),concordant,20-bp random regions,concordant,four rounds,concordant,PIONEAR-seq (Pioneer Interactions On Nucleosomal Elements After Reconstitution followed by sequencing),concordant,present,single_source:codex
PRJNA1246497,ena,Aptamer mediated modulation of eEF1 enhances salt stress tolerance in rice,aptamer_selection,concordant,rice eEF1 / eEF1A (eukaryotic translation elongation factor 1A),concordant,protein / translation elongation factor,concordant,RNA,concordant,40-nucleotide random region (N40 library); stem-enriched library (Stem2),concordant,26 rounds,concordant,iterative SELEX on Ni–NTA agarose beads coated with His-tagged eEF1,concordant,,not_stated
PRJNA1308116,ena,"Towards point-of-care test development for Bacterial Vaginosis (BV), a polymicrobial infection",aptamer_selection,concordant,"sialidases produced by Bacterial Vaginosis Associated Bacteria (Gardnerella vaginalis, Prevotella bivia)",concordant,enzyme / sialidase,single_source:claude,ssDNA,concordant,,not_stated,,not_stated,SELEX,single_source:codex,,not_stated
PRJNA1346116,ena,A modular strategy for extracellular vesicle-mediated CRISPR-Cas9 delivery through aptamer-based loading and UV-activated cargo release,not_selex,adjudicated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA1376488,ena,High-throughput sequencing data from four systematic evolution of ligands by exponential enrichment (SELEX) rounds,aptamer_selection,concordant,SARS-CoV-2,concordant,SARS-CoV-2,single_source:codex,single-stranded DNA (ssDNA),single_source:codex,40-nucleotide randomized central region,single_source:codex,four rounds,concordant,SELEX (four rounds; sequenced on Oxford Nanopore MinION),concordant,present,single_source:codex
PRJNA1390424,ena,NApt,aptamer_selection,concordant,SARS-CoV-2 N protein (nucleocapsid protein),concordant,viral protein / nucleocapsid protein,concordant,DNA,concordant,,not_stated,,not_stated,SELEX,single_source:codex,,not_stated
PRJNA1395820,ena,Magnetic field-assisted SELEX for cobalt-binding aptamers,aptamer_selection,concordant,paramagnetic Co2+ ions,concordant,metal ion,concordant,ssDNA,concordant,40-nt random region,single_source:codex,seven rounds,single_source:codex,HM-SELEX (Magnetic Field-Assisted SELEX),concordant,present,single_source:codex
PRJNA1406499,ena,The mechanical code of DNA impacts its interaction with DNA gyrase,aptamer_selection,concordant,DNA gyrase,concordant,type II topoisomerase,single_source:claude,DNA,concordant,,not_stated,,not_stated,SELEX (Systematic Evolution of Ligands by EXponential enrichment),concordant,,not_stated
PRJNA1467126,ena,Expedient Single-round Selection of Hyper-modified Aptamer Targeting Insulin Receptor from Over-represented Dually Nucleobase-modified DNA Libraries,aptamer_selection,concordant,human insulin receptor,concordant,protein,concordant,nucleobase-modified DNA (modified adenine and uracil nucleotides bearing hydrophobic aromatic phenyl and indole moieties),concordant,N19; N17; N13; N22,single_source:codex,single round,concordant,single-round selection,adjudicated,,not_stated
PRJNA221564,ena,Overlapping and distinct functions of CstF64 and CstF64t in mammalian mRNA 3’ processing,aptamer_selection,concordant,CstF64 and CstF64τ (RRM domains),concordant,RNA-binding protein (mRNA 3' processing factor),concordant,RNA,concordant,20 nt,concordant,one round,concordant,SELEX-seq (SELEX coupled with high-throughput sequencing),concordant,,not_stated
PRJNA251822,ena,The SET-domain protein SUVR5 mediates H3K9me2 deposition and silencing at stimulus response genes in a DNA methylation independent manner [SELEX],tf_ht_selex,adjudicated,SUVR5 zinc finger domain,concordant,protein (SET-domain histone methyltransferase with C2H2 zinc finger DNA-binding domain),concordant,DNA (100 bp fragmented Arabidopsis genomic DNA),concordant,,not_stated,9 cycles,concordant,genomic SELEX (gSELEX),concordant,,not_stated
PRJNA315881,ena,Interleukin 10 receptor alpha chain (IL-10RA) Raw sequence reads,aptamer_selection,concordant,human interleukin-10 receptor alpha chain (hIL-10RA),concordant,protein (cytokine receptor),concordant,"RNA (produced with DuraScribe T7 Transcription kit, incorporating 2'-fluoro pyrimidines)",concordant,N40,concordant,five rounds,concordant,HT-SELEX (High-Throughput SELEX),concordant,present,concordant
